invoice_id,issued_date,due_date,paid_date,amount,currency,customer_id,status,payment_terms_days
RE-2026-1050,2026-03-30,2026-04-29,2026-04-28,12814.86,EUR,BP-003,paid,30
RE-2026-1051,2026-04-05,2026-04-19,2026-04-29,16801.28,EUR,BP-004,paid,14
RE-2026-1052,2026-04-01,2026-05-01,2026-05-04,10620.58,EUR,BP-005,paid,30
RE-2026-1053,2026-04-09,2026-05-09,2026-05-05,14482.53,EUR,BP-006,paid,30
RE-2026-1054,2026-03-04,2026-05-03,2026-05-06,9075.70,EUR,BP-007,paid,60
RE-2026-1055,2026-04-05,2026-05-05,2026-05-11,11548.17,EUR,BP-001,paid,30
RE-2026-1056,2026-05-01,2026-05-15,2026-05-12,14352.18,EUR,BP-002,paid,14
RE-2026-1057,2026-04-13,2026-05-13,2026-05-13,9026.77,EUR,BP-003,paid,30
RE-2026-1058,2026-04-20,2026-05-04,2026-05-18,15330.34,EUR,BP-004,paid,14
RE-2026-1059,2026-04-13,2026-05-13,2026-05-19,9192.23,EUR,BP-005,paid,30
RE-2026-1060,2026-04-23,2026-05-23,2026-05-20,11220.65,EUR,BP-006,paid,30
RE-2026-1061,2026-03-26,2026-05-25,2026-05-25,10342.38,EUR,BP-007,paid,60
RE-2026-1062,2026-04-22,2026-05-22,2026-05-26,12356.19,EUR,BP-001,paid,30
RE-2026-1063,2026-05-13,2026-05-27,2026-05-27,13944.26,EUR,BP-002,paid,14
RE-2026-1064,2026-05-02,2026-06-01,2026-06-01,5676.10,EUR,BP-003,paid,30
RE-2026-1065,2026-05-04,2026-05-18,2026-06-02,6220.12,EUR,BP-004,paid,14
RE-2026-1066,2026-04-29,2026-05-29,2026-06-03,6605.16,EUR,BP-005,paid,30
RE-2026-1067,2026-05-11,2026-06-10,2026-06-08,8365.26,EUR,BP-006,paid,30
RE-2026-1068,2026-04-07,2026-06-06,2026-06-09,8626.77,EUR,BP-007,paid,60
RE-2026-1069,2026-05-06,2026-06-05,2026-06-10,8725.88,EUR,BP-001,paid,30
RE-2026-1070,2026-06-03,2026-06-17,2026-06-15,12175.94,EUR,BP-002,paid,14
RE-2026-1071,2026-05-13,2026-06-12,2026-06-16,12002.65,EUR,BP-003,paid,30
RE-2026-1072,2026-05-29,2026-06-12,2026-06-17,11666.66,EUR,BP-004,paid,14
RE-2026-1073,2026-05-18,2026-06-17,2026-06-22,8764.12,EUR,BP-005,paid,30
RE-2026-1074,2026-05-29,2026-06-28,2026-06-23,7992.38,EUR,BP-006,paid,30
RE-2026-1075,2026-04-24,2026-06-23,2026-06-24,7078.12,EUR,BP-007,paid,60
RE-2026-1076,2026-05-28,2026-06-27,2026-06-29,11448.33,EUR,BP-001,paid,30
RE-2026-1077,2026-06-19,2026-07-03,2026-06-30,10027.91,EUR,BP-002,paid,14
RE-2026-1078,2026-05-28,2026-06-27,2026-07-01,8503.99,EUR,BP-003,paid,30
RE-2026-1079,2026-06-05,2026-06-19,2026-07-06,14135.63,EUR,BP-004,paid,14
RE-2026-1080,2026-06-02,2026-07-02,2026-07-07,12035.99,EUR,BP-005,paid,30
RE-2026-1081,2026-06-12,2026-07-12,2026-07-08,9877.93,EUR,BP-006,paid,30
RE-2026-1082,2026-05-12,2026-07-11,2026-07-13,7997.18,EUR,BP-007,paid,60
RE-2026-1083,2026-06-11,2026-07-11,2026-07-14,13028.43,EUR,BP-001,paid,30
RE-2026-1084,2026-07-03,2026-07-17,2026-07-15,10421.71,EUR,BP-002,paid,14
RE-2026-1085,2026-06-19,2026-07-19,2026-07-20,9885.79,EUR,BP-003,paid,30
RE-2026-1086,2026-06-25,2026-07-09,2026-07-21,14201.24,EUR,BP-004,paid,14
RE-2026-1087,2026-06-10,2026-07-10,2026-07-22,11128.00,EUR,BP-005,paid,30
RE-2026-1088,2026-07-02,2026-08-01,2026-07-27,13727.01,EUR,BP-006,paid,30
RE-2026-1089,2026-05-27,2026-07-26,2026-07-28,9500.44,EUR,BP-007,paid,60
RE-2026-1090,2026-06-26,2026-07-26,2026-07-29,13869.69,EUR,BP-001,paid,30
RE-2026-1091,2026-07-21,2026-08-04,2026-08-03,14887.48,EUR,BP-002,paid,14
RE-2026-1092,2026-07-01,2026-07-31,2026-08-04,10373.14,EUR,BP-003,paid,30
RE-2026-1093,2026-07-06,2026-07-20,2026-08-05,13838.31,EUR,BP-004,paid,14
RE-2026-1094,2026-07-03,2026-08-02,2026-08-10,9385.48,EUR,BP-005,paid,30
RE-2026-1095,2026-07-13,2026-08-12,2026-08-11,12137.91,EUR,BP-006,paid,30
RE-2026-1096,2026-06-14,2026-08-13,2026-08-12,15074.82,EUR,BP-007,paid,60
RE-2026-1097,2026-07-15,2026-08-14,2026-08-17,13418.20,EUR,BP-001,paid,30
RE-2026-1098,2026-08-08,2026-08-22,2026-08-18,15874.44,EUR,BP-002,paid,14
RE-2026-1099,2026-07-18,2026-08-17,2026-08-19,9433.04,EUR,BP-003,paid,30
