partner_id,due_date,paid_date,delay_days
BP-004,2025-02-03,2025-02-16,13
BP-005,2025-02-04,2025-02-06,2
BP-006,2025-02-05,2025-02-03,-2
BP-001,2025-02-06,2025-02-09,3
BP-002,2025-02-07,2025-02-05,-2
BP-003,2025-02-03,2025-02-06,3
BP-001,2025-02-10,2025-02-15,5
BP-002,2025-02-11,2025-02-07,-4
BP-003,2025-02-12,2025-02-12,0
BP-004,2025-02-13,2025-02-23,10
BP-005,2025-02-14,2025-02-22,8
BP-006,2025-02-10,2025-02-05,-5
BP-004,2025-02-17,2025-03-08,19
BP-005,2025-02-18,2025-02-20,2
BP-006,2025-02-19,2025-02-14,-5
BP-001,2025-02-20,2025-02-22,2
BP-002,2025-02-21,2025-02-18,-3
BP-003,2025-02-17,2025-02-20,3
BP-001,2025-02-24,2025-03-02,6
BP-002,2025-02-25,2025-02-23,-2
BP-003,2025-02-26,2025-02-25,-1
BP-004,2025-02-27,2025-03-15,16
BP-005,2025-02-28,2025-03-03,3
BP-006,2025-02-24,2025-02-21,-3
BP-004,2025-03-03,2025-03-08,5
BP-005,2025-03-04,2025-03-14,10
BP-006,2025-03-05,2025-02-28,-5
BP-001,2025-03-06,2025-03-08,2
BP-002,2025-03-07,2025-03-06,-1
BP-003,2025-03-03,2025-03-05,2
BP-001,2025-03-10,2025-03-14,4
BP-002,2025-03-11,2025-03-11,0
BP-003,2025-03-12,2025-03-15,3
BP-004,2025-03-13,2025-03-19,6
BP-005,2025-03-14,2025-03-23,9
BP-006,2025-03-10,2025-03-08,-2
BP-004,2025-03-17,2025-04-01,15
BP-005,2025-03-18,2025-03-28,10
BP-006,2025-03-19,2025-03-16,-3
BP-001,2025-03-20,2025-03-25,5
BP-002,2025-03-21,2025-03-18,-3
BP-003,2025-03-17,2025-03-18,1
BP-001,2025-03-24,2025-03-27,3
BP-002,2025-03-25,2025-03-23,-2
BP-003,2025-03-26,2025-03-28,2
BP-004,2025-03-27,2025-04-02,6
BP-005,2025-03-28,2025-04-04,7
BP-006,2025-03-24,2025-03-21,-3
BP-004,2025-03-31,2025-04-10,10
BP-005,2025-04-01,2025-04-09,8
BP-006,2025-04-02,2025-03-30,-3
BP-001,2025-04-03,2025-04-07,4
BP-002,2025-04-04,2025-03-31,-4
BP-003,2025-03-31,2025-04-04,4
BP-001,2025-04-07,2025-04-12,5
BP-002,2025-04-08,2025-04-05,-3
BP-003,2025-04-09,2025-04-11,2
BP-004,2025-04-10,2025-04-16,6
BP-005,2025-04-11,2025-04-14,3
BP-006,2025-04-07,2025-04-04,-3
BP-004,2025-04-14,2025-04-19,5
BP-005,2025-04-15,2025-04-24,9
BP-006,2025-04-16,2025-04-13,-3
BP-001,2025-04-17,2025-04-23,6
BP-002,2025-04-18,2025-04-18,0
BP-003,2025-04-14,2025-04-17,3
BP-001,2025-04-21,2025-04-27,6
BP-002,2025-04-22,2025-04-20,-2
BP-003,2025-04-23,2025-04-24,1
BP-004,2025-04-24,2025-04-29,5
BP-005,2025-04-25,2025-04-28,3
BP-006,2025-04-21,2025-04-17,-4
BP-004,2025-04-28,2025-05-09,11
BP-005,2025-04-29,2025-05-03,4
BP-006,2025-04-30,2025-04-25,-5
BP-001,2025-05-01,2025-05-03,2
BP-002,2025-05-02,2025-04-30,-2
BP-003,2025-04-28,2025-05-03,5
BP-001,2025-05-05,2025-05-08,3
BP-002,2025-05-06,2025-05-03,-3
BP-003,2025-05-07,2025-05-10,3
BP-004,2025-05-08,2025-05-26,18
BP-005,2025-05-09,2025-05-17,8
BP-006,2025-05-05,2025-04-30,-5
BP-004,2025-05-12,2025-06-01,20
BP-005,2025-05-13,2025-05-18,5
BP-006,2025-05-14,2025-05-11,-3
BP-001,2025-05-15,2025-05-17,2
BP-002,2025-05-16,2025-05-15,-1
BP-003,2025-05-12,2025-05-16,4
BP-001,2025-05-19,2025-05-25,6
BP-002,2025-05-20,2025-05-19,-1
BP-003,2025-05-21,2025-05-26,5
BP-004,2025-05-22,2025-05-27,5
BP-005,2025-05-23,2025-05-29,6
BP-006,2025-05-19,2025-05-17,-2
BP-004,2025-05-26,2025-06-12,17
BP-005,2025-05-27,2025-06-02,6
BP-006,2025-05-28,2025-05-24,-4
BP-001,2025-05-29,2025-06-01,3
BP-002,2025-05-30,2025-05-28,-2
BP-003,2025-05-26,2025-05-28,2
BP-001,2025-06-02,2025-06-06,4
BP-002,2025-06-03,2025-05-30,-4
BP-003,2025-06-04,2025-06-07,3
BP-004,2025-06-05,2025-06-19,14
BP-005,2025-06-06,2025-06-14,8
BP-006,2025-06-02,2025-05-30,-3
BP-004,2025-06-09,2025-06-21,12
BP-005,2025-06-10,2025-06-19,9
BP-006,2025-06-11,2025-06-08,-3
BP-001,2025-06-12,2025-06-15,3
BP-002,2025-06-13,2025-06-11,-2
BP-003,2025-06-09,2025-06-09,0
BP-001,2025-06-16,2025-06-21,5
BP-002,2025-06-17,2025-06-14,-3
BP-003,2025-06-18,2025-06-20,2
BP-004,2025-06-19,2025-07-06,17
BP-005,2025-06-20,2025-07-01,11
BP-006,2025-06-16,2025-06-12,-4
BP-004,2025-06-23,2025-07-13,20
BP-005,2025-06-24,2025-06-29,5
BP-006,2025-06-25,2025-06-21,-4
BP-001,2025-06-26,2025-06-29,3
BP-002,2025-06-27,2025-06-24,-3
BP-003,2025-06-23,2025-06-27,4
BP-001,2025-06-30,2025-07-04,4
BP-002,2025-07-01,2025-06-29,-2
BP-003,2025-07-02,2025-07-05,3
BP-004,2025-07-03,2025-07-16,13
BP-005,2025-07-04,2025-07-11,7
BP-006,2025-06-30,2025-06-26,-4
BP-004,2025-07-07,2025-07-13,6
BP-005,2025-07-08,2025-07-12,4
BP-006,2025-07-09,2025-07-05,-4
BP-001,2025-07-10,2025-07-14,4
BP-002,2025-07-11,2025-07-09,-2
BP-003,2025-07-07,2025-07-10,3
BP-001,2025-07-14,2025-07-18,4
BP-002,2025-07-15,2025-07-13,-2
BP-003,2025-07-16,2025-07-16,0
BP-004,2025-07-17,2025-07-22,5
BP-005,2025-07-18,2025-07-23,5
BP-006,2025-07-14,2025-07-12,-2
BP-004,2025-07-21,2025-08-03,13
BP-005,2025-07-22,2025-08-02,11
BP-006,2025-07-23,2025-07-21,-2
BP-001,2025-07-24,2025-07-27,3
BP-002,2025-07-25,2025-07-24,-1
BP-003,2025-07-21,2025-07-21,0
BP-001,2025-07-28,2025-07-30,2
BP-002,2025-07-29,2025-07-29,0
BP-003,2025-07-30,2025-08-04,5
BP-004,2025-07-31,2025-08-13,13
BP-005,2025-08-01,2025-08-05,4
BP-006,2025-07-28,2025-07-24,-4
BP-004,2025-08-04,2025-08-14,10
BP-005,2025-08-05,2025-08-10,5
BP-006,2025-08-06,2025-08-05,-1
BP-001,2025-08-07,2025-08-10,3
BP-002,2025-08-08,2025-08-06,-2
BP-003,2025-08-04,2025-08-09,5
BP-001,2025-08-11,2025-08-14,3
BP-002,2025-08-12,2025-08-10,-2
BP-003,2025-08-13,2025-08-16,3
BP-004,2025-08-14,2025-09-03,20
BP-005,2025-08-15,2025-08-23,8
BP-006,2025-08-11,2025-08-06,-5
BP-004,2025-08-18,2025-08-29,11
BP-005,2025-08-19,2025-08-25,6
BP-006,2025-08-20,2025-08-17,-3
BP-001,2025-08-21,2025-08-27,6
BP-002,2025-08-22,2025-08-19,-3
BP-003,2025-08-18,2025-08-22,4
BP-001,2025-08-25,2025-08-28,3
BP-002,2025-08-26,2025-08-24,-2
BP-003,2025-08-27,2025-08-26,-1
BP-004,2025-08-28,2025-09-17,20
BP-005,2025-08-29,2025-09-10,12
BP-006,2025-08-25,2025-08-23,-2
BP-004,2025-09-01,2025-09-12,11
BP-005,2025-09-02,2025-09-04,2
BP-006,2025-09-03,2025-08-30,-4
BP-001,2025-09-04,2025-09-10,6
BP-002,2025-09-05,2025-09-03,-2
BP-003,2025-09-01,2025-09-01,0
BP-001,2025-09-08,2025-09-14,6
BP-002,2025-09-09,2025-09-06,-3
BP-003,2025-09-10,2025-09-13,3
BP-004,2025-09-11,2025-09-23,12
BP-005,2025-09-12,2025-09-15,3
BP-006,2025-09-08,2025-09-05,-3
BP-004,2025-09-15,2025-10-03,18
BP-005,2025-09-16,2025-09-19,3
BP-006,2025-09-17,2025-09-14,-3
BP-001,2025-09-18,2025-09-25,7
BP-002,2025-09-19,2025-09-17,-2
BP-003,2025-09-15,2025-09-18,3
BP-001,2025-09-22,2025-09-26,4
BP-002,2025-09-23,2025-09-19,-4
BP-003,2025-09-24,2025-09-26,2
BP-004,2025-09-25,2025-10-13,18
BP-005,2025-09-26,2025-09-30,4
BP-006,2025-09-22,2025-09-18,-4
BP-004,2025-09-29,2025-10-03,4
BP-005,2025-09-30,2025-10-05,5
BP-006,2025-10-01,2025-09-28,-3
BP-001,2025-10-02,2025-10-04,2
BP-002,2025-10-03,2025-10-02,-1
BP-003,2025-09-29,2025-10-03,4
BP-001,2025-10-06,2025-10-12,6
BP-002,2025-10-07,2025-10-07,0
BP-003,2025-10-08,2025-10-07,-1
BP-004,2025-10-09,2025-10-22,13
BP-005,2025-10-10,2025-10-20,10
BP-006,2025-10-06,2025-10-03,-3
BP-004,2025-10-13,2025-10-17,4
BP-005,2025-10-14,2025-10-19,5
BP-006,2025-10-15,2025-10-13,-2
BP-001,2025-10-16,2025-10-20,4
BP-002,2025-10-17,2025-10-16,-1
BP-003,2025-10-13,2025-10-15,2
BP-001,2025-10-20,2025-10-25,5
BP-002,2025-10-21,2025-10-19,-2
BP-003,2025-10-22,2025-10-24,2
BP-004,2025-10-23,2025-11-10,18
BP-005,2025-10-24,2025-11-02,9
BP-006,2025-10-20,2025-10-19,-1
BP-004,2025-10-27,2025-11-15,19
BP-005,2025-10-28,2025-11-06,9
BP-006,2025-10-29,2025-10-24,-5
BP-001,2025-10-30,2025-11-03,4
BP-002,2025-10-31,2025-10-30,-1
BP-003,2025-10-27,2025-10-29,2
BP-001,2025-11-03,2025-11-06,3
BP-002,2025-11-04,2025-11-04,0
BP-003,2025-11-05,2025-11-06,1
BP-004,2025-11-06,2025-11-10,4
BP-005,2025-11-07,2025-11-18,11
BP-006,2025-11-03,2025-11-01,-2
BP-004,2025-11-10,2025-11-21,11
BP-005,2025-11-11,2025-11-16,5
BP-006,2025-11-12,2025-11-09,-3
BP-001,2025-11-13,2025-11-19,6
BP-002,2025-11-14,2025-11-13,-1
BP-003,2025-11-10,2025-11-09,-1
BP-001,2025-11-17,2025-11-20,3
BP-002,2025-11-18,2025-11-15,-3
BP-003,2025-11-19,2025-11-20,1
BP-004,2025-11-20,2025-12-04,14
BP-005,2025-11-21,2025-11-26,5
BP-006,2025-11-17,2025-11-13,-4
BP-004,2025-11-24,2025-11-30,6
BP-005,2025-11-25,2025-12-04,9
BP-006,2025-11-26,2025-11-24,-2
BP-001,2025-11-27,2025-12-02,5
BP-002,2025-11-28,2025-11-25,-3
BP-003,2025-11-24,2025-11-29,5
BP-001,2025-12-01,2025-12-07,6
BP-002,2025-12-02,2025-12-01,-1
BP-003,2025-12-03,2025-12-07,4
BP-004,2025-12-04,2025-12-16,12
BP-005,2025-12-05,2025-12-14,9
BP-006,2025-12-01,2025-11-30,-1
BP-004,2025-12-08,2025-12-13,5
BP-005,2025-12-09,2025-12-14,5
BP-006,2025-12-10,2025-12-08,-2
BP-001,2025-12-11,2025-12-15,4
BP-002,2025-12-12,2025-12-10,-2
BP-003,2025-12-08,2025-12-12,4
BP-001,2025-12-15,2025-12-21,6
BP-002,2025-12-16,2025-12-16,0
BP-003,2025-12-17,2025-12-20,3
BP-004,2025-12-18,2025-12-27,9
BP-005,2025-12-19,2025-12-23,4
BP-006,2025-12-15,2025-12-12,-3
BP-004,2025-12-22,2025-12-31,9
BP-005,2025-12-23,2025-12-30,7
BP-006,2025-12-24,2025-12-20,-4
BP-001,2025-12-25,2025-12-31,6
BP-002,2025-12-26,2025-12-24,-2
BP-003,2025-12-22,2025-12-25,3
BP-001,2025-12-29,2025-12-31,2
BP-002,2025-12-30,2025-12-29,-1
BP-003,2025-12-31,2026-01-04,4
BP-004,2026-01-01,2026-01-19,18
BP-005,2026-01-02,2026-01-11,9
BP-006,2025-12-29,2025-12-25,-4
BP-003,2026-01-05,2026-01-05,0
BP-004,2026-01-06,2026-01-19,13
BP-005,2026-01-07,2026-01-16,9
BP-006,2026-01-08,2026-01-03,-5
BP-007,2026-01-09,2026-01-07,-2
BP-001,2026-01-05,2026-01-07,2
BP-006,2026-01-12,2026-01-11,-1
BP-007,2026-01-13,2026-01-13,0
BP-001,2026-01-14,2026-01-17,3
BP-002,2026-01-15,2026-01-15,0
BP-003,2026-01-16,2026-01-21,5
BP-004,2026-01-12,2026-01-17,5
BP-002,2026-01-19,2026-01-16,-3
BP-003,2026-01-20,2026-01-24,4
BP-004,2026-01-21,2026-02-09,19
BP-005,2026-01-22,2026-01-29,7
BP-006,2026-01-23,2026-01-22,-1
BP-007,2026-01-19,2026-01-23,4
BP-005,2026-01-26,2026-02-01,6
BP-006,2026-01-27,2026-01-23,-4
BP-007,2026-01-28,2026-01-26,-2
BP-001,2026-01-29,2026-02-04,6
BP-002,2026-01-30,2026-01-27,-3
BP-003,2026-01-26,2026-01-28,2
BP-001,2026-02-02,2026-02-09,7
BP-002,2026-02-03,2026-01-31,-3
BP-003,2026-02-04,2026-02-06,2
BP-004,2026-02-05,2026-02-13,8
BP-005,2026-02-06,2026-02-17,11
BP-006,2026-02-02,2026-01-29,-4
BP-004,2026-02-09,2026-02-26,17
BP-005,2026-02-10,2026-02-12,2
BP-006,2026-02-11,2026-02-09,-2
BP-007,2026-02-12,2026-02-12,0
BP-001,2026-02-13,2026-02-14,1
BP-002,2026-02-09,2026-02-08,-1
BP-007,2026-02-16,2026-02-16,0
BP-001,2026-02-17,2026-02-23,6
BP-002,2026-02-18,2026-02-17,-1
BP-003,2026-02-19,2026-02-23,4
BP-004,2026-02-20,2026-03-02,10
BP-005,2026-02-16,2026-02-24,8
BP-003,2026-02-23,2026-02-28,5
BP-004,2026-02-24,2026-03-07,11
BP-005,2026-02-25,2026-03-04,7
BP-006,2026-02-26,2026-02-24,-2
BP-007,2026-02-27,2026-02-26,-1
BP-001,2026-02-23,2026-02-25,2
BP-006,2026-03-02,2026-02-27,-3
BP-007,2026-03-03,2026-03-07,4
BP-001,2026-03-04,2026-03-07,3
BP-002,2026-03-05,2026-03-01,-4
BP-003,2026-03-06,2026-03-10,4
BP-004,2026-03-02,2026-03-16,14
BP-002,2026-03-09,2026-03-07,-2
BP-003,2026-03-10,2026-03-12,2
BP-004,2026-03-11,2026-03-29,18
BP-005,2026-03-12,2026-03-23,11
BP-006,2026-03-13,2026-03-09,-4
BP-007,2026-03-09,2026-03-09,0
BP-005,2026-03-16,2026-03-21,5
BP-006,2026-03-17,2026-03-13,-4
BP-007,2026-03-18,2026-03-22,4
BP-001,2026-03-19,2026-03-24,5
BP-002,2026-03-20,2026-03-19,-1
BP-003,2026-03-16,2026-03-18,2
BP-001,2026-03-23,2026-03-29,6
BP-002,2026-03-24,2026-03-23,-1
BP-003,2026-03-25,2026-03-29,4
BP-004,2026-03-26,2026-04-03,8
BP-005,2026-03-27,2026-04-01,5
BP-006,2026-03-23,2026-03-20,-3
BP-004,2026-03-30,2026-04-13,14
BP-005,2026-03-31,2026-04-02,2
BP-006,2026-04-01,2026-03-29,-3
BP-007,2026-04-02,2026-03-31,-2
BP-001,2026-04-03,2026-04-07,4
BP-002,2026-03-30,2026-03-28,-2
BP-007,2026-04-06,2026-04-08,2
BP-001,2026-04-07,2026-04-10,3
BP-002,2026-04-08,2026-04-08,0
BP-003,2026-04-09,2026-04-13,4
BP-004,2026-04-10,2026-04-20,10
BP-005,2026-04-06,2026-04-09,3
BP-003,2026-04-13,2026-04-16,3
BP-004,2026-04-14,2026-04-25,11
BP-005,2026-04-15,2026-04-19,4
BP-006,2026-04-16,2026-04-12,-4
BP-007,2026-04-17,2026-04-18,1
BP-001,2026-04-13,2026-04-17,4
BP-006,2026-04-20,2026-04-18,-2
BP-007,2026-04-21,2026-04-20,-1
BP-001,2026-04-22,2026-04-24,2
BP-002,2026-04-23,2026-04-22,-1
BP-003,2026-04-24,2026-04-24,0
BP-004,2026-04-20,2026-05-10,20
BP-002,2026-04-27,2026-04-26,-1
BP-003,2026-04-28,2026-04-28,0
BP-004,2026-04-29,2026-05-14,15
BP-005,2026-04-30,2026-05-04,4
BP-006,2026-05-01,2026-04-30,-1
BP-007,2026-04-27,2026-04-26,-1
BP-005,2026-05-04,2026-05-07,3
BP-006,2026-05-05,2026-05-02,-3
BP-007,2026-05-06,2026-05-09,3
BP-001,2026-05-07,2026-05-12,5
BP-002,2026-05-08,2026-05-05,-3
BP-003,2026-05-04,2026-05-05,1
BP-001,2026-05-11,2026-05-16,5
BP-002,2026-05-12,2026-05-12,0
BP-003,2026-05-13,2026-05-17,4
BP-004,2026-05-14,2026-06-02,19
BP-005,2026-05-15,2026-05-20,5
BP-006,2026-05-11,2026-05-07,-4
BP-004,2026-05-18,2026-06-04,17
BP-005,2026-05-19,2026-05-29,10
BP-006,2026-05-20,2026-05-17,-3
BP-007,2026-05-21,2026-05-23,2
BP-001,2026-05-22,2026-05-28,6
BP-002,2026-05-18,2026-05-17,-1
BP-007,2026-05-25,2026-05-25,0
BP-001,2026-05-26,2026-06-02,7
BP-002,2026-05-27,2026-05-25,-2
BP-003,2026-05-28,2026-05-27,-1
BP-004,2026-05-29,2026-06-06,8
BP-005,2026-05-25,2026-06-01,7
BP-003,2026-06-01,2026-06-05,4
BP-004,2026-06-02,2026-06-09,7
BP-005,2026-06-03,2026-06-11,8
BP-006,2026-06-04,2026-06-02,-2
BP-007,2026-06-05,2026-06-08,3
BP-001,2026-06-01,2026-06-07,6
BP-006,2026-06-08,2026-06-07,-1
BP-007,2026-06-09,2026-06-07,-2
BP-001,2026-06-10,2026-06-15,5
BP-002,2026-06-11,2026-06-09,-2
BP-003,2026-06-12,2026-06-12,0
BP-004,2026-06-08,2026-06-17,9
BP-002,2026-06-15,2026-06-15,0
BP-003,2026-06-16,2026-06-20,4
BP-004,2026-06-17,2026-06-28,11
BP-005,2026-06-18,2026-06-28,10
BP-006,2026-06-19,2026-06-16,-3
BP-007,2026-06-15,2026-06-14,-1
BP-005,2026-06-22,2026-06-29,7
BP-006,2026-06-23,2026-06-22,-1
BP-007,2026-06-24,2026-06-23,-1
BP-001,2026-06-25,2026-06-30,5
BP-002,2026-06-26,2026-06-25,-1
BP-003,2026-06-22,2026-06-23,1
BP-001,2026-06-29,2026-07-03,4
BP-002,2026-06-30,2026-06-29,-1
BP-003,2026-07-01,2026-07-04,3
BP-004,2026-07-02,2026-07-10,8
BP-005,2026-07-03,2026-07-15,12
BP-006,2026-06-29,2026-06-26,-3
BP-004,2026-07-06,2026-07-22,16
BP-005,2026-07-07,2026-07-12,5
BP-006,2026-07-08,2026-07-04,-4
BP-007,2026-07-09,2026-07-08,-1
BP-001,2026-07-10,2026-07-11,1
BP-002,2026-07-06,2026-07-03,-3
BP-007,2026-07-13,2026-07-15,2
BP-001,2026-07-14,2026-07-16,2
BP-002,2026-07-15,2026-07-12,-3
BP-003,2026-07-16,2026-07-16,0
BP-004,2026-07-17,2026-07-21,4
BP-005,2026-07-13,2026-07-22,9
BP-003,2026-07-20,2026-07-21,1
BP-004,2026-07-21,2026-08-04,14
BP-005,2026-07-22,2026-07-31,9
BP-006,2026-07-23,2026-07-20,-3
BP-007,2026-07-24,2026-07-25,1
BP-001,2026-07-20,2026-07-27,7
